ch0_stas,ch1_stas,primary_only,npca_only,drl,best_policy,best_reward,drl_vs_primary,drl_vs_npca
2,2,664.9266666666667,565.0516666666667,668.1010000000001,DRL,668.1010000000001,3.1743333333333794,103.04933333333338
10,2,853.8866666666667,729.9516666666667,604.977,Primary-Only,853.8866666666667,-248.90966666666668,-124.97466666666674
20,2,728.0166666666665,825.9433333333335,560.0060000000001,NPCA-Only,825.9433333333335,-168.01066666666645,-265.9373333333334
2,10,942.05,919.7916666666665,891.98,Primary-Only,942.05,-50.069999999999936,-27.811666666666497
10,10,835.4116666666669,929.5949999999999,813.278,NPCA-Only,929.5949999999999,-22.13366666666684,-116.3169999999999
20,10,1380.6399999999999,871.4783333333332,713.1079999999998,Primary-Only,1380.6399999999999,-667.532,-158.3703333333334
2,20,1389.8066666666664,1219.5383333333334,967.8919999999998,Primary-Only,1389.8066666666664,-421.91466666666656,-251.6463333333336
10,20,1127.88,1426.1216666666664,942.6790000000001,NPCA-Only,1426.1216666666664,-185.20100000000002,-483.44266666666636
20,20,1038.66,1105.12,868.4259999999999,NPCA-Only,1105.12,-170.23400000000015,-236.69399999999996
