OBSS Remaining (slots),Radio Transition Time,TX Duration (slots),CW Index,Action,Action_Name,Q_Primary,Q_NPCA,Q_Diff,OBSS_Category,OBSS_Binned
16,1,165,0,0,Stay Primary,0.9995698,-5.3766813,-6.376251,Low (11-30),10-19
27,1,33,0,0,Stay Primary,0.12835929,-0.41166732,-0.5400266,Low (11-30),20-29
63,1,165,2,0,Stay Primary,0.7987268,-4.2320805,-5.0308075,High (51-100),60-69
76,1,33,5,1,Go NPCA,-0.49418172,0.9853884,1.4795702,High (51-100),70-79
98,1,33,3,1,Go NPCA,-1.1005962,1.8889757,2.989572,High (51-100),90-99
89,1,165,5,0,Stay Primary,0.71252865,-3.7408388,-4.453367,High (51-100),80-89
82,1,165,4,0,Stay Primary,0.73320645,-3.8586812,-4.5918875,High (51-100),80-89
66,1,165,2,0,Stay Primary,0.78422797,-4.1494517,-4.9336796,High (51-100),60-69
34,1,165,4,0,Stay Primary,0.9651882,-5.1807413,-6.1459293,Medium (31-50),30-39
35,1,165,0,0,Stay Primary,0.9077437,-4.853366,-5.7611094,Medium (31-50),30-39
26,1,33,0,0,Stay Primary,0.13319224,-0.4392102,-0.5724025,Low (11-30),20-29
59,1,165,4,0,Stay Primary,0.84436435,-4.492168,-5.336532,High (51-100),50-59
25,1,33,1,0,Stay Primary,0.15117805,-0.5417111,-0.69288915,Low (11-30),20-29
75,1,165,5,0,Stay Primary,0.78019,-4.1264396,-4.9066296,High (51-100),70-79
27,1,165,2,0,Stay Primary,0.9727131,-5.2236257,-6.1963387,Low (11-30),20-29
44,1,165,3,0,Stay Primary,0.9037057,-4.8303537,-5.7340593,Medium (31-50),40-49
34,1,33,1,0,Stay Primary,0.1076815,-0.29382488,-0.40150636,Medium (31-50),30-39
97,1,165,0,0,Stay Primary,0.6081007,-3.1457057,-3.7538064,High (51-100),90-99
21,1,165,5,0,Stay Primary,1.0411695,-5.6137576,-6.6549273,Low (11-30),20-29
6,1,165,5,0,Stay Primary,1.1136638,-6.0269012,-7.140565,Very Low (0-10),0-9
99,1,33,0,1,Go NPCA,-1.0289567,1.7822293,2.8111858,High (51-100),90-99
51,1,165,2,0,Stay Primary,0.85672224,-4.5625954,-5.4193177,High (51-100),50-59
0,1,165,1,0,Stay Primary,1.0900501,-5.892327,-6.982377,Very Low (0-10),
63,1,33,5,1,Go NPCA,-0.09554416,0.39139885,0.486943,High (51-100),60-69
29,1,165,6,0,Stay Primary,1.0156587,-5.468372,-6.4840307,Low (11-30),20-29
35,1,165,4,0,Stay Primary,0.9603553,-5.1531987,-6.113554,Medium (31-50),30-39
57,1,165,4,0,Stay Primary,0.85403025,-4.547254,-5.401284,High (51-100),50-59
64,1,33,1,1,Go NPCA,0.010196559,0.23383997,0.22364342,High (51-100),60-69
99,1,165,5,0,Stay Primary,0.6641991,-3.4654095,-4.1296086,High (51-100),90-99
46,1,33,3,0,Stay Primary,0.07599182,-0.11322597,-0.18921778,Medium (31-50),40-49
22,1,33,1,0,Stay Primary,0.16567694,-0.62433994,-0.7900169,Low (11-30),20-29
27,1,33,2,0,Stay Primary,0.15466502,-0.5615833,-0.7162483,Low (11-30),20-29
83,1,165,5,0,Stay Primary,0.74152637,-3.906096,-4.647622,High (51-100),80-89
26,1,33,4,0,Stay Primary,0.18580376,-0.7390423,-0.92484605,Low (11-30),20-29
99,1,33,1,1,Go NPCA,-1.063058,1.833042,2.8961,High (51-100),90-99
72,1,165,2,0,Stay Primary,0.75523025,-3.9841943,-4.7394247,High (51-100),70-79
17,1,33,6,0,Stay Primary,0.25560606,-1.1368445,-1.3924506,Low (11-30),10-19
45,1,33,2,0,Stay Primary,0.067671895,-0.06581086,-0.13348275,Medium (31-50),40-49
71,1,33,1,1,Go NPCA,-0.2044543,0.5536803,0.7581346,High (51-100),70-79
67,1,33,0,1,Go NPCA,-0.047695406,0.32010186,0.36779726,High (51-100),60-69
70,1,33,3,1,Go NPCA,-0.24199256,0.6096142,0.8516067,High (51-100),60-69
28,1,165,2,0,Stay Primary,0.9678801,-5.196082,-6.1639624,Low (11-30),20-29
77,1,165,1,0,Stay Primary,0.7179126,-3.7715218,-4.4894342,High (51-100),70-79
77,1,165,3,0,Stay Primary,0.74421835,-3.9214377,-4.665656,High (51-100),70-79
73,1,165,5,0,Stay Primary,0.78985596,-4.1815257,-4.9713817,High (51-100),70-79
22,1,165,3,0,Stay Primary,1.0100307,-5.4362984,-6.446329,Low (11-30),20-29
3,1,165,4,0,Stay Primary,1.1150097,-6.0345716,-7.1495814,Very Low (0-10),0-9
92,1,33,4,1,Go NPCA,-0.95071083,1.6656393,2.6163502,High (51-100),90-99
71,1,165,4,0,Stay Primary,0.78636897,-4.1616535,-4.9480224,High (51-100),70-79
99,1,165,5,0,Stay Primary,0.6641991,-3.4654095,-4.1296086,High (51-100),90-99
17,1,33,5,0,Stay Primary,0.24245319,-1.0618864,-1.3043396,Low (11-30),10-19
6,1,165,1,0,Stay Primary,1.0610523,-5.7270694,-6.7881217,Very Low (0-10),0-9
23,1,33,1,0,Stay Primary,0.16084398,-0.596797,-0.75764096,Low (11-30),20-29
2,1,33,3,0,Stay Primary,0.28864175,-1.3251143,-1.613756,Very Low (0-10),0-9
12,1,33,3,0,Stay Primary,0.2403122,-1.049685,-1.2899972,Low (11-30),10-19
31,1,33,4,0,Stay Primary,0.16163896,-0.60132754,-0.7629665,Medium (31-50),30-39
85,1,33,2,1,Go NPCA,-0.6678574,1.2441738,1.9120312,High (51-100),80-89
18,1,165,0,0,Stay Primary,0.9899039,-5.3215957,-6.3114996,Low (11-30),10-19
29,1,165,5,0,Stay Primary,1.0025059,-5.393414,-6.39592,Low (11-30),20-29
39,1,165,2,0,Stay Primary,0.9147177,-4.8931103,-5.807828,Medium (31-50),30-39
24,1,33,4,0,Stay Primary,0.19546965,-0.79412806,-0.9895977,Low (11-30),20-29
26,1,33,2,0,Stay Primary,0.15949798,-0.5891261,-0.7486241,Low (11-30),20-29
2,1,165,4,0,Stay Primary,1.1198428,-6.0621147,-7.1819572,Very Low (0-10),0-9
71,1,165,3,0,Stay Primary,0.77321607,-4.086695,-4.8599114,High (51-100),70-79
34,1,33,1,0,Stay Primary,0.1076815,-0.29382488,-0.40150636,Medium (31-50),30-39
6,1,165,2,0,Stay Primary,1.0742052,-5.8020267,-6.876232,Very Low (0-10),0-9
84,1,165,0,0,Stay Primary,0.6709291,-3.5037634,-4.1746926,High (51-100),80-89
33,1,165,5,0,Stay Primary,0.983174,-5.2832417,-6.2664156,Medium (31-50),30-39
11,1,165,2,0,Stay Primary,1.0500404,-5.664312,-6.714352,Low (11-30),10-19
22,1,165,5,0,Stay Primary,1.0363365,-5.586214,-6.6225505,Low (11-30),20-29
24,1,33,0,0,Stay Primary,0.14285815,-0.49429604,-0.6371542,Low (11-30),20-29
77,1,33,5,1,Go NPCA,-0.5248461,1.0310798,1.5559258,High (51-100),70-79
91,1,165,3,0,Stay Primary,0.676557,-3.535837,-4.2123938,High (51-100),90-99
46,1,33,0,1,Go NPCA,0.03653319,0.111648075,0.07511488,Medium (31-50),40-49
53,1,33,6,0,Stay Primary,0.08161977,-0.14529952,-0.2269193,High (51-100),50-59
33,1,165,5,0,Stay Primary,0.983174,-5.2832417,-6.2664156,Medium (31-50),30-39
61,1,33,3,1,Go NPCA,0.022736507,0.19027515,0.16753864,High (51-100),60-69
