Scenario,Policy,Type,Avg_Reward,Std_Reward,Avg_Throughput,Avg_Latency,Avg_Decisions,Efficiency,Stay_Prob,Switch_Prob,OBSS_Duration,PPDU_Duration,Throughput_Reward,Latency_Penalty,Throughput_Ratio,Latency_Ratio
Short OBSS (50),Primary-Only,Baseline,91.42399999999999,314.4750887176916,21.45,1230.76,3.96,0.017428255711917837,1.0,0.0,50,33,54.166666666666664,31.079797979797984,0.5924775405436938,0.3399522880184414
Short OBSS (50),NPCA-Only,Baseline,457.83200000000005,544.7579700894701,71.61,2582.68,27.42,0.027727012250840215,0.0,1.0,50,33,26.11597374179431,9.41896425966448,0.05704270068888655,0.020572970564889475
Short OBSS (50),Random,Baseline,314.88199999999995,477.64023665935014,50.16,1867.18,11.6,0.026864040960164523,0.47649918962722854,0.5235008103727715,50,33,43.241379310344826,16.096379310344826,0.13732566266202842,0.05111876611030427
Short OBSS (50),Smart-30,Baseline,480.008,512.6996211584324,73.59,2558.92,26.68,0.02875822612664718,0.25427509293680295,0.745724907063197,50,33,27.582458770614693,9.591154422788605,0.05746249806381288,0.01998123869349804
Short OBSS (50),Smart-100,Baseline,95.90499999999999,324.94974146012174,22.44,1284.95,4.09,0.017463714541421847,1.0,0.0,50,33,54.86552567237164,31.41687041564792,0.5720820152481273,0.32758323774201475
Short OBSS (50),Adaptive-CW,Baseline,315.05699999999996,427.3090203248698,51.15,1964.43,10.03,0.02603808738412669,0.7879924953095685,0.21200750469043153,50,33,50.99700897308076,19.585543369890328,0.16186597654735735,0.06216507923928156
Short OBSS (50),OBSS-Freq,Baseline,408.93300000000005,454.63665933468235,66.99,2609.67,26.22,0.02566991228776052,0.018140589569160998,0.981859410430839,50,33,25.549199084668192,9.952974828375286,0.062477714160188075,0.02433888883600806
Short OBSS (50),DRL-medium,DRL,45.419,265.05495531870366,16.83,1228.81,3.8,0.013696177602721332,1.0,0.0,50,33,44.28947368421053,32.3371052631579,0.9751309734738882,0.7119730787370463
Short OBSS (50),DRL-medium,DRL,112.72,371.2307651582772,22.77,1149.8,3.77,0.019803444077230822,1.0,0.0,50,33,60.39787798408488,30.49867374005305,0.535822196452137,0.2705702070622166
Short OBSS (50),DRL-medium,DRL,95.47500000000002,298.383062982804,21.78,1223.25,4.34,0.017805027590435316,0.8984962406015038,0.10150375939849623,50,33,50.184331797235025,28.18548387096774,0.5256279842601206,0.2952132377163418
Short OBSS (50),DRL-medium,DRL,144.14600000000002,370.53112970977213,26.73,1231.54,3.96,0.021704532536499017,1.0,0.0,50,33,67.5,31.09949494949495,0.4682752209565301,0.21574996843127764
Short OBSS (50),DRL-medium,DRL,74.346,298.5226170393125,19.14,1170.54,3.79,0.0163514275462607,1.0,0.0,50,33,50.50131926121372,30.88496042216359,0.679274194458528,0.41542195171446467
Short OBSS (50),DRL-medium,DRL,445.8479999999999,498.3108177593579,71.28,2669.52,28.25,0.026701429470466602,0.0,1.0,50,33,25.231858407079645,9.449628318584072,0.056592960845578875,0.021194730757083297
