Scenario,Policy,Type,Avg_Reward,Std_Reward,Avg_Throughput,Avg_Latency,Avg_Decisions,Efficiency,Stay_Prob,Switch_Prob,OBSS_Duration,PPDU_Duration,Throughput_Reward,Latency_Penalty,Throughput_Ratio,Latency_Ratio
Extreme OBSS (200),Primary-Only,Baseline,43.31199999999999,262.095012268452,16.5,1216.88,3.93,0.013559266320426006,1.0,0.0,200,33,41.98473282442748,30.96386768447837,0.9693556710479195,0.714902744839268
Extreme OBSS (200),NPCA-Only,Baseline,483.57200000000006,462.59468762189647,75.24,2688.28,29.23,0.02798815599565521,0.0,1.0,200,33,25.740677386247008,9.19698939445775,0.05323028915290175,0.019018862536411846
Extreme OBSS (200),Random,Baseline,261.2459999999999,425.59670967243153,44.22,1809.54,11.19,0.024437149772870453,0.4707357859531773,0.5292642140468228,200,33,39.51742627345845,16.171045576407508,0.15126519170995328,0.06189968679485049
Extreme OBSS (200),Smart-30,Baseline,566.8579999999998,526.3575625333029,82.17,2548.42,26.04,0.03224350774205194,0.26473944465576266,0.7352605553442374,200,33,31.555299539170505,9.786559139784947,0.055667026908274235,0.01726456915097776
Extreme OBSS (200),Smart-100,Baseline,109.29099999999998,314.3730844379016,23.1,1217.09,3.9,0.018979697475125096,1.0,0.0,200,33,59.23076923076923,31.2074358974359,0.541954682734802,0.2855444263245455
Extreme OBSS (200),Adaptive-CW,Baseline,294.47,433.3581367645011,48.84,1939.3,9.52,0.025184344866704483,0.7857847976307996,0.21421520236920039,200,33,51.30252100840336,20.37079831932773,0.17421985604103424,0.06917783923431156
Extreme OBSS (200),OBSS-Freq,Baseline,503.34200000000004,544.5479993866472,75.9,2556.58,26.0,0.029688098944683917,0.015601217656012176,0.9843987823439878,200,33,29.192307692307693,9.833000000000002,0.05799696367938239,0.019535425217843932
Extreme OBSS (200),DRL-medium,DRL,81.148,293.79091288874133,19.8,1168.52,3.73,0.01694451100537432,1.0,0.0,200,33,53.083109919571044,31.327613941018768,0.6541517957259704,0.3860552809806621
Extreme OBSS (200),DRL-medium,DRL,71.815,275.32802667908686,19.47,1228.85,3.89,0.015844081865158482,1.0,0.0,200,33,50.05141388174807,31.589974293059125,0.6969492986388369,0.439879889898477
Extreme OBSS (200),DRL-medium,DRL,95.809,317.1213216089388,21.45,1186.91,4.27,0.0180721368932775,0.9070208728652751,0.09297912713472485,200,33,50.23419203747073,27.79648711943794,0.5243160041068243,0.2901239666360983
Extreme OBSS (200),DRL-medium,DRL,65.48899999999999,290.5490106315972,17.82,1127.11,3.61,0.01581034681619363,1.0,0.0,200,33,49.362880886426595,31.221883656509696,0.7537583546309549,0.4767500443816473
Extreme OBSS (200),DRL-medium,DRL,50.33599999999999,326.4041542382694,16.5,1146.64,3.71,0.014389869531849576,1.0,0.0,200,33,44.474393530997304,30.906738544474393,0.8835504118522988,0.6140086328765575
Extreme OBSS (200),DRL-medium,DRL,574.8599999999999,552.4263141813575,83.16,2567.4,27.56,0.032390745501285345,0.0,1.0,200,33,30.174165457184326,9.315674891146589,0.05248958956473634,0.01620511931800193
