Policy,Avg_Reward,Std_Reward,Efficiency,Stay_Prob,Switch_Prob,Avg_Decisions,Total_Throughput,Total_Latency
Primary-Only,57.2,22.435685859808252,0.286,1.0,0.0,5.0,1716,0
NPCA-Only,4.4,23.694725151391822,0.022,0.0,1.0,5.0,132,0
Random,4.4,23.694725151391822,0.022,0.5,0.5,5.0,132,0
DRL (OBSS 100),4.4,23.694725151391822,0.022,0.4066666666666667,0.5933333333333334,5.0,132,0
