PPDU_Variant,PPDU_Duration,Policy,Avg_Reward,Std_Reward,Efficiency,Stay_Prob,Switch_Prob,Avg_Decisions,Total_Throughput,Total_Latency
short,20,Primary-Only,16.0,16.65332799572906,0.08,1.0,0.0,5.0,480,0
short,20,NPCA-Only,4.0,21.540659228538015,0.02,0.0,1.0,5.0,120,0
short,20,Random,72.66666666666667,54.52420461491289,0.36333333333333334,0.5,0.5,5.0,2180,0
short,20,DRL (OBSS 200),118.0,14.0,0.59,0.6,0.4,5.0,3540,0
medium,33,Primary-Only,9.9,37.286592764692244,0.0495,1.0,0.0,5.0,297,0
medium,33,NPCA-Only,4.4,23.694725151391822,0.022,0.0,1.0,5.0,132,0
medium,33,Random,9.9,37.286592764692244,0.0495,0.5,0.5,5.0,297,0
medium,33,DRL (OBSS 200),117.7,20.312803843881326,0.5885,0.6,0.4,5.0,3531,0
long,50,Primary-Only,5.0,26.92582403567252,0.025,1.0,0.0,5.0,150,0
long,50,NPCA-Only,5.0,26.92582403567252,0.025,0.0,1.0,5.0,150,0
long,50,Random,85.0,72.05322107072429,0.425,0.5,0.5,5.0,2550,0
long,50,DRL (OBSS 200),5.0,26.92582403567252,0.025,0.4066666666666667,0.5933333333333334,5.0,150,0
extra_long,80,Primary-Only,10.666666666666666,39.91101212558872,0.05333333333333334,1.0,0.0,5.0,320,0
extra_long,80,NPCA-Only,10.666666666666666,39.91101212558872,0.05333333333333334,0.0,1.0,5.0,320,0
extra_long,80,Random,5.333333333333333,28.72087897138402,0.02666666666666667,0.5,0.5,5.0,160,0
extra_long,80,DRL (OBSS 200),5.333333333333333,28.72087897138402,0.02666666666666667,0.4066666666666667,0.5933333333333334,5.0,160,0
