Scenario,Policy,Type,Avg_Reward,Std_Reward,Avg_Throughput,Avg_Latency,Avg_Decisions,Efficiency,Stay_Prob,Switch_Prob,OBSS_Duration,PPDU_Duration,Throughput_Reward,Latency_Penalty,Throughput_Ratio,Latency_Ratio
Extreme OBSS (200),DRL-medium,DRL,77.92399999999999,349.50256683463715,19.14,1134.76,3.58,0.016867002714230323,1.0,0.0,200,33,53.46368715083799,31.697206703910616,0.6861003946260201,0.40677078568747266
Extreme OBSS (200),DRL-medium,DRL,127.93700000000001,328.4481805871362,25.74,1294.63,4.19,0.01988212848458633,1.0,0.0,200,33,61.43198090692124,30.898090692124104,0.48017368632155855,0.24151020183468505
Extreme OBSS (200),DRL-medium,DRL,501.55600000000004,499.4985249868111,75.57,2541.44,26.56,0.029735110803324097,0.0,1.0,200,33,28.452560240963855,9.568674698795181,0.05672858113742803,0.01907797872778948
Short OBSS (50),Primary-Only,Baseline,158.31800000000004,375.3727002273873,27.39,1155.82,3.61,0.02369746154245471,1.0,0.0,50,33,75.87257617728532,32.01717451523545,0.4792416287300579,0.2022333184807504
Short OBSS (50),NPCA-Only,Baseline,526.5459999999999,555.5956561061291,78.87,2621.54,28.3,0.03008536966821029,0.0,1.0,50,33,27.869257950530034,9.26339222614841,0.05292843920669806,0.017592750160761665
Short OBSS (50),Random,Baseline,258.555,371.7590602460147,43.56,1770.45,11.0,0.024603914259086673,0.507679180887372,0.492320819112628,50,33,39.6,16.095,0.15315890236119975,0.06224981145210883
Short OBSS (50),Smart-30,Baseline,498.853,540.2651672012549,75.24,2535.47,25.94,0.029674971504297033,0.25754680932365304,0.742453190676347,50,33,29.005397070161912,9.77436391673092,0.05814417688209134,0.019593675725576312
Short OBSS (50),Smart-100,Baseline,70.23299999999999,301.2744529677218,18.48,1145.67,3.57,0.016130299300845793,1.0,0.0,50,33,51.76470588235294,32.09159663865547,0.7370424997131398,0.45693045489521267
Short OBSS (50),Adaptive-CW,Baseline,242.35199999999998,391.44118497674714,42.9,1866.48,9.29,0.022984441301272984,0.7869346733668342,0.21306532663316582,50,33,46.178686759956946,20.09128094725511,0.1905438649565795,0.08290123847649333
Short OBSS (50),OBSS-Freq,Baseline,476.10699999999997,543.6486643513438,73.92,2630.93,26.76,0.028096528603953737,0.01998519615099926,0.9800148038490007,50,33,27.623318385650226,9.831576980568013,0.05801913936499616,0.02064993159220094
Short OBSS (50),DRL-medium,DRL,85.601,304.0793973602947,20.46,1189.99,3.72,0.01719342179346045,1.0,0.0,50,33,55.0,31.988978494623655,0.6425158584595975,0.37369865415852216
Short OBSS (50),DRL-medium,DRL,141.02800000000002,364.8858416217324,26.73,1262.72,4.06,0.021168588443993917,1.0,0.0,50,33,65.83743842364532,31.101477832512316,0.466839481689064,0.22053406296985217
Short OBSS (50),DRL-medium,DRL,93.16199999999999,292.7804490672149,21.78,1246.38,4.5,0.017474606460309055,0.8957952468007313,0.10420475319926874,50,33,48.4,27.697333333333336,0.5195251282711836,0.29730290604896137
Short OBSS (50),DRL-medium,DRL,91.33699999999999,299.514247292178,21.12,1198.63,3.73,0.017620116299441862,1.0,0.0,50,33,56.62198391420912,32.134852546916896,0.6199238415341989,0.3518273267888906
Short OBSS (50),DRL-medium,DRL,80.533,268.7442431215969,19.47,1141.67,3.65,0.017053964805942172,1.0,0.0,50,33,53.342465753424655,31.278630136986305,0.6623677964738015,0.38839519373407555
Short OBSS (50),DRL-medium,DRL,460.036,531.7454149346283,71.94,2593.64,26.58,0.02773707993399238,0.0,1.0,50,33,27.06546275395034,9.757863054928519,0.058833358158818745,0.021211085773566674
