episode,slot,sta_id,primary_channel_obss_occupied_remained,radio_transition_time,tx_duration,cw_index,action,epsilon,steps_done,reward,tau
67,71,0,149,1,33,0,0,0.8928899042096337,84,0.0,128
67,71,1,149,1,33,0,0,0.8928056194335218,85,0.0,128
67,71,2,149,1,33,0,1,0.892721343085466,86,0.0,128
67,71,3,149,1,33,0,1,0.8926370751646238,87,0.0,128
67,71,4,149,1,33,0,1,0.8925528156701522,88,0.0,128
67,71,5,149,1,33,0,1,0.8924685646012088,89,0.0,128
67,71,6,149,1,33,0,0,0.8923843219569512,90,0.0,128
67,71,7,149,1,33,0,0,0.8923000877365367,91,0.0,128
67,71,8,149,1,33,0,1,0.8922158619391231,92,0.0,128
67,71,9,149,1,33,0,0,0.8921316445638681,93,0.0,128
71,174,0,149,1,33,0,1,0.8920474356099296,94,0.0,25
71,174,1,149,1,33,0,0,0.8919632350764655,95,0.0,25
71,174,2,149,1,33,0,1,0.8918790429626337,96,0.0,25
71,174,3,149,1,33,0,0,0.8917948592675923,97,0.0,25
71,174,4,149,1,33,0,1,0.8917106839904995,98,0.0,25
71,174,5,149,1,33,0,0,0.8916265171305137,99,0.0,25
71,174,6,149,1,33,0,1,0.8915423586867929,100,0.0,25
71,174,7,149,1,33,0,1,0.8914582086584958,101,0.0,25
71,174,8,149,1,33,0,1,0.8913740670447807,102,0.0,25
71,174,9,149,1,33,0,0,0.8912899338448063,103,0.0,25
85,177,0,149,1,33,0,0,0.8912058090577313,104,0.0,22
85,177,1,149,1,33,0,1,0.8911216926827145,105,0.0,22
85,177,2,149,1,33,0,0,0.8910375847189144,106,0.0,22
85,177,3,149,1,33,0,0,0.8909534851654902,107,0.0,22
85,177,4,149,1,33,0,1,0.890869394021601,108,0.0,22
85,177,5,149,1,33,0,1,0.8907853112864057,109,0.0,22
85,177,6,149,1,33,0,0,0.8907012369590634,110,0.0,22
85,177,7,149,1,33,0,1,0.8906171710387336,111,0.0,22
85,177,8,149,1,33,0,0,0.8905331135245754,112,0.0,22
85,177,9,149,1,33,0,0,0.8904490644157484,113,0.0,22
87,146,1,116,1,33,1,1,0.8903650237114121,114,0.0,53
87,146,2,116,1,33,1,1,0.8902809914107261,115,0.0,53
87,146,3,116,1,33,1,0,0.8901969675128499,116,0.0,53
87,146,6,116,1,33,1,1,0.8901129520169434,117,0.0,53
99,103,1,116,1,33,1,0,0.8900289449221664,118,0.0,96
99,103,3,116,1,33,1,1,0.8899449462276791,119,0.0,96
104,35,0,149,1,33,0,0,0.8898609559326409,120,0.0,164
104,35,1,149,1,33,0,0,0.8897769740362126,121,0.0,164
104,35,2,149,1,33,0,1,0.8896930005375538,122,0.0,150
104,35,3,149,1,33,0,1,0.8896090354358251,123,0.0,164
104,35,4,149,1,33,0,1,0.8895250787301867,124,0.0,150
104,35,5,149,1,33,0,1,0.8894411304197992,125,0.0,141
104,35,6,149,1,33,0,1,0.889357190503823,126,0.0,141
104,35,7,149,1,33,0,0,0.8892732589814186,127,0.0,164
104,35,8,149,1,33,0,0,0.889189335851747,128,0.0,164
104,35,9,149,1,33,0,1,0.8891054211139686,129,0.0,73
111,176,0,149,1,33,0,1,0.8890215147672444,130,0.0,23
111,176,1,149,1,33,0,0,0.8889376168107356,131,0.0,23
111,176,2,149,1,33,0,0,0.8888537272436027,132,0.0,23
111,176,3,149,1,33,0,1,0.8887698460650072,133,0.0,23
111,176,4,149,1,33,0,0,0.8886859732741101,134,0.0,23
111,176,5,149,1,33,0,1,0.8886021088700727,135,0.0,23
111,176,6,149,1,33,0,0,0.8885182528520565,136,0.0,23
111,176,7,149,1,33,0,0,0.8884344052192229,137,0.0,23
111,176,8,149,1,33,0,0,0.8883505659707333,138,0.0,23
111,176,9,149,1,33,0,1,0.8882667351057492,139,0.0,23
118,76,0,149,1,33,0,0,0.8881829126234326,140,0.0,123
118,76,1,149,1,33,0,1,0.8880990985229452,141,0.0,65
118,76,2,149,1,33,0,1,0.8880152928034487,142,0.0,123
118,76,3,149,1,33,0,1,0.8879314954641051,143,0.0,65
118,76,4,149,1,33,0,1,0.8878477065040765,144,0.0,123
118,76,5,149,1,33,0,1,0.8877639259225251,145,0.0,123
118,76,6,149,1,33,0,0,0.8876801537186128,146,0.0,123
118,76,7,149,1,33,0,1,0.8875963898915021,147,0.0,123
118,76,8,149,1,33,0,0,0.8875126344403553,148,0.0,123
118,76,9,149,1,33,0,0,0.8874288873643349,149,0.0,123
133,175,0,149,1,33,0,1,0.8873451486626033,150,0.0,24
133,175,1,149,1,33,0,1,0.8872614183343233,151,0.0,24
133,175,2,149,1,33,0,0,0.8871776963786574,152,0.0,24
133,175,3,149,1,33,0,0,0.8870939827947684,153,0.0,24
133,175,4,149,1,33,0,1,0.8870102775818194,154,0.0,24
133,175,5,149,1,33,0,1,0.886926580738973,155,0.0,24
133,175,6,149,1,33,0,0,0.8868428922653926,156,0.0,24
133,175,7,149,1,33,0,1,0.886759212160241,157,0.0,24
133,175,8,149,1,33,0,1,0.8866755404226816,158,0.0,24
133,175,9,149,1,33,0,0,0.8865918770518776,159,0.0,24
138,35,7,116,1,33,1,1,0.8865082220469924,160,0.0,164
161,140,5,116,1,33,1,1,0.8864245754071894,161,0.0,59
161,140,6,116,1,33,1,1,0.8863409371316321,162,0.0,59
161,140,9,116,1,33,1,0,0.8862573072194843,163,0.0,59
170,35,9,116,1,33,1,1,0.8861736856699095,164,0.0,164
191,172,0,149,1,33,0,0,0.8860900724820715,165,0.0,27
191,172,1,149,1,33,0,1,0.8860064676551344,166,0.0,27
191,172,2,149,1,33,0,1,0.8859228711882619,167,0.0,27
191,172,3,149,1,33,0,0,0.885839283080618,168,0.0,27
191,172,4,149,1,33,0,1,0.8857557033313671,169,0.0,27
191,172,5,149,1,33,0,0,0.8856721319396732,170,0.0,27
191,172,6,149,1,33,0,0,0.8855885689047006,171,0.0,27
191,172,7,149,1,33,0,1,0.8855050142256137,172,0.0,27
191,172,8,149,1,33,0,0,0.885421467901577,173,0.0,27
191,172,9,149,1,33,0,0,0.8853379299317549,174,0.0,27
198,175,0,149,1,33,0,1,0.8852544003153122,175,0.0,24
