Policy,Avg_Reward,Std_Reward,Efficiency,Stay_Prob,Switch_Prob,Avg_Decisions,Total_Throughput,Total_Latency
Primary-Only,878.5833786422941,557.950877708016,0.32102053690334337,1.0,0.0,1.94,4580,9026
NPCA-Only,811.4684601547365,574.103387005573,0.27059645556755385,0.0,1.0,1.84,4260,9804
Random,769.2982763884438,598.7019161230793,0.28888888888888886,0.5568181818181818,0.4431818181818182,1.76,4030,8836
Enhanced DRL,958.6380128331032,610.3398682338798,0.3336007487632036,1.0,0.0,1.9,4990,9401
